rank,sketch_page,line_page,model_index,region_index,score,edge_f1,edge_precision,edge_recall,chamfer,inlier_count,match_count,coverage,orientation_entropy,area_ratio,scale,angle,bbox,bbox_full,full_matrix,decision,notes
1,page0018,page0018,1,16,6.233926313833417,0.9011086274771046,0.8813786298280237,0.9217421785995968,1.758687631562367,27,157,0.6875,0.8112577019241795,0.2862190812720848,1.057669521711117,0.36854530970784743,"(60, 0, 420, 360)","(526, 0, 3683, 3157)","[[1.0576476413236267, -0.006803231525691531, -501.8092451128751], [0.006803231525691531, 1.0576476413236267, -718.6199260909447]]",,
2,page0018,page0018,1,23,6.132773043206202,0.9130528161773787,0.8812571970466707,0.9472286757384667,1.5766326235865364,24,157,0.5625,0.8160254850655404,0.2862190812720848,1.057669521711117,0.36854530970784743,"(60, 180, 420, 540)","(526, 1579, 3683, 4736)","[[1.0576476413236267, -0.006803231525691531, -501.8092451128751], [0.006803231525691531, 1.0576476413236267, -718.6199260909447]]",,
3,page0012,page0012,1,10,6.063478878338192,0.9054279229222582,0.8437116773402371,0.9768856447688564,1.5614642676597013,18,170,0.5625,0.8144367996985868,0.127208480565371,1.0408466776465573,0.31616968767399506,"(120, 120, 360, 360)","(1052, 1052, 3157, 3157)","[[1.0408308305078882, -0.005743573115763237, -54.08354490532364], [0.005743573115763237, 1.0408308305078882, -483.83462476525403]]",,
4,page0038,page0038,1,7,6.006898993731954,0.9338858223082428,0.9176535899333826,0.9507026544724515,1.4667327946385362,14,159,0.4375,0.8120005212327285,0.127208480565371,1.082372017345384,-0.12061543017813008,"(200, 120, 440, 360)","(1754, 1052, 3859, 3157)","[[1.0823696190267862, 0.002278539033233993, -243.8102287079996], [-0.002278539033233993, 1.0823696190267862, -262.14778631694486]]",,
5,page0011,page0011,1,32,6.001782141534989,0.8789019369382902,0.8695106649937264,0.8884982873625383,2.0743339724725534,18,150,0.6875,0.7969457172975949,0.2862190812720848,1.0822095466093877,-0.518844659711386,"(60, 60, 420, 420)","(526, 526, 3683, 3683)","[[1.082165174728905, 0.00979986614476615, -590.9240367507464], [-0.00979986614476615, 1.082165174728905, -637.4610679935555]]",,
6,page0016,page0016,1,22,5.933503435514612,0.8947686275706406,0.8395698924731183,0.9577363896848138,1.7814324518790854,14,176,0.5625,0.8090384548812012,0.2862190812720848,1.0807965500651378,0.07414965356949786,"(60, 60, 420, 420)","(526, 526, 3683, 3683)","[[1.0807956449853189, -0.0013987185108056172, -431.7749119682051], [0.0013987185108056172, 1.0807956449853189, -750.7655222823277]]",,
7,page0018,page0018,1,29,5.853440620878745,0.8973940894627581,0.8450123660346249,0.9566992014196983,1.8638874914230632,16,157,0.5,0.8115775882035262,0.2862190812720848,1.057669521711117,0.36854530970784743,"(0, 300, 360, 660)","(0, 2631, 3157, 5788)","[[1.0576476413236267, -0.006803231525691531, -501.8092451128751], [0.006803231525691531, 1.0576476413236267, -718.6199260909447]]",,
8,page0008,page0008,1,19,5.724889563441003,0.8654761820435539,0.7910145111209682,0.9554134470201616,2.0983352785402625,15,132,0.5625,0.8008938278281402,0.2862190812720848,0.8934630795962241,0.03202934186332586,"(60, 60, 420, 420)","(526, 526, 3683, 3683)","[[0.8934629399923826, -0.0004994614467482756, -293.8984357215417], [0.0004994614467482756, 0.8934629399923826, -439.3609997988755]]",,
9,page0036,page0036,1,3,5.713012714112921,0.9035940229588103,0.8434656468416194,0.972953216374269,1.8297432449936726,10,156,0.4375,0.7712422694772496,0.127208480565371,1.074794756805933,-0.3617605616274192,"(40, 40, 280, 280)","(351, 351, 2456, 2456)","[[1.0747733332639784, 0.00678611539557788, 63.464701426215704], [-0.00678611539557788, 1.0747733332639784, 125.05543684153032]]",,
10,page0027,page0027,1,5,5.6979429613541415,0.8963060247512877,0.874954219641082,0.9187260076775432,1.862654149345849,10,123,0.4375,0.8061827934138357,0.2862190812720848,0.8759119420340279,0.16241970630291017,"(0, 180, 360, 540)","(0, 1579, 3157, 4736)","[[0.8759084226850149, -0.0024829956245317, -172.30843712361718], [0.0024829956245317, 0.8759084226850149, -208.03754216670305]]",,
11,page0011,page0011,1,21,5.650327630387615,0.8535352967577295,0.7964270152505447,0.9194661757938334,2.5474388869529645,15,150,0.625,0.7774103466509817,0.2862190812720848,1.0822095466093877,-0.518844659711386,"(206, 60, 566, 420)","(1807, 526, 4964, 3683)","[[1.082165174728905, 0.00979986614476615, -590.9240367507464], [-0.00979986614476615, 1.082165174728905, -637.4610679935555]]",,
12,page0020,page0020,1,7,5.641062621287496,0.9086698958546782,0.8658870365762628,0.9559002433090025,1.8203650355562293,7,126,0.375,0.812191455154714,0.127208480565371,1.0720318569704652,-0.27484929933865226,"(0, 120, 240, 360)","(0, 1052, 2105, 3157)","[[1.0720195224898639, 0.00514254413185506, -204.50273902543603], [-0.00514254413185506, 1.0720195224898639, -239.6250182845301]]",,
13,page0036,page0036,1,7,5.5721892153299075,0.885258336919348,0.8346223465525753,0.9424352664241387,1.9951585590999397,9,156,0.4375,0.765461289242337,0.127208480565371,1.074794756805933,-0.3617605616274192,"(0, 120, 240, 360)","(0, 1052, 2105, 3157)","[[1.0747733332639784, 0.00678611539557788, 63.464701426215704], [-0.00678611539557788, 1.0747733332639784, 125.05543684153032]]",,
14,page0012,page0012,1,8,5.569205352127592,0.8881658705119243,0.8310344827586207,0.9537324111614596,1.9310497755847078,12,170,0.375,0.8053650397369094,0.127208480565371,1.0408466776465573,0.31616968767399506,"(0, 120, 240, 360)","(0, 1052, 2105, 3157)","[[1.0408308305078882, -0.005743573115763237, -54.08354490532364], [0.005743573115763237, 1.0408308305078882, -483.83462476525403]]",,
15,page0001,page0001,1,4,5.535382212175649,0.8946573695734492,0.8513318191203799,0.942629179331307,1.757328710067493,11,101,0.3125,0.8082778854341761,0.127208480565371,0.86187513213317,0.24308133948258762,"(120, 440, 360, 680)","(1052, 3859, 3157, 5964)","[[0.8618673755280983, -0.003656554372248884, 102.11283375495096], [0.003656554372248884, 0.8618673755280983, 255.8267056119249]]",,
