rank,name,sketch_page,line_page,region_rank,region_score,tile_score,edge_f1,edge_precision,edge_recall,chamfer,orientation_entropy,rough_std,line_ink,support,rough_edges,line_edges,tile_bbox,decision,notes
1,ako5r_0040_0040_0831_1440.jpg,page0040,page0040,29,5.3144373505266715,4.773711059666464,0.8312082490918297,0.7861480075901328,0.8817480719794345,3.6291937828063965,0.6829287102369936,32.27215871722805,0.09722222222222222,1.0,5270,4668,"(831, 1440, 1311, 1920)",,
2,ako5r_0018_0018_1579_0766.jpg,page0018,page0018,72,4.945967932742508,4.69215742088143,0.8293479164985817,0.7172398291750955,0.9829948039678791,3.826350212097168,0.7109908636207223,29.299916353941402,0.030685763888888887,1.0,4449,2117,"(1579, 766, 2059, 1246)",,
3,ako5r_0008_0008_1966_1726.jpg,page0008,page0008,8,5.724889563441003,4.44420973478992,0.7598205868201936,0.6939465674670274,0.8395127118644068,4.300680160522461,0.8081367478466179,32.584054101276436,0.10892361111111111,1.0,11828,7552,"(1966, 1726, 2446, 2206)",,
4,ako5r_0040_0040_1772_1791.jpg,page0040,page0040,30,5.2987385924617305,4.429932847046396,0.7734635488072694,0.7799505969534788,0.7670835194283162,4.088481903076172,0.731875868445029,30.192124984975774,0.0487109375,1.0,4858,4478,"(1772, 1791, 2252, 2271)",,
5,ako5r_0016_0016_1726_1966.jpg,page0016,page0016,6,5.933503435514612,4.307061035353433,0.7486819483834208,0.7483031674208145,0.7490611130078525,4.389981269836426,0.689527540095527,17.000522756918357,0.01703125,1.0,3536,2929,"(1726, 1966, 2206, 2446)",,
6,ako5r_0036_0036_3176_1292.jpg,page0036,page0036,51,5.075893672438714,4.299657324476321,0.7795677439927322,0.7308072487644152,0.8353001539250898,5.034784317016602,0.8092392713127167,22.169957292539067,0.02861545138888889,1.0,3035,1949,"(3176, 1292, 3656, 1772)",,
7,ako5r_0038_0038_2446_4883.jpg,page0038,page0038,102,4.6362820260814965,4.251944654608243,0.7885308766590668,0.7031131359149583,0.8975725281231498,4.684812545776367,0.6885130956949472,19.388478489008413,0.02214409722222222,1.0,2634,1689,"(2446, 4883, 2926, 5363)",,
8,ako5r_0011_0011_0480_3351.jpg,page0011,page0011,76,4.9181950108032435,4.218447902980644,0.7770233713976044,0.7284976420390747,0.8324751115688294,4.730155944824219,0.6770412291712247,25.71180921627042,0.04855034722222222,1.0,4453,2913,"(480, 3351, 960, 3831)",,
9,ako5r_0037_0037_1772_2474.jpg,page0037,page0037,140,4.05128576966146,4.200233988099507,0.7732332399797003,0.6934604904632152,0.8737451737451738,4.563608169555664,0.7988706958286487,20.279697386754354,0.04499565972222222,1.0,4404,2590,"(1772, 2474, 2252, 2954)",,
10,ako5r_0033_0033_1006_0526.jpg,page0033,page0033,25,5.374739131042966,4.16013436470208,0.7293077423319472,0.6941431670281996,0.7682252388134742,4.473628520965576,0.7526381094737677,18.382205535791226,0.02437934027777778,1.0,2766,1989,"(1006, 526, 1486, 1006)",,
11,ako5r_0040_0040_0831_1200.jpg,page0040,page0040,29,5.3144373505266715,4.155548389838173,0.754879503781253,0.7501496110113705,0.7596694214876033,4.463427543640137,0.595838471351168,21.53430811121064,0.04299913194444444,1.0,3342,3025,"(831, 1200, 1311, 1680)",,
12,ako5r_0012_0012_1532_1772.jpg,page0012,page0012,3,6.063478878338192,4.149228894170353,0.730966955422394,0.6274213075060533,0.8754448398576512,5.286203384399414,0.8145434924228321,28.17774243576743,0.05053385416666667,1.0,6608,3653,"(1532, 1772, 2012, 2252)",,
13,ako5r_0038_0038_3819_0831.jpg,page0038,page0038,38,5.215725314749047,4.149126014763146,0.7471988022729629,0.7187982591604661,0.7779359430604982,4.6545090675354,0.7020937746163186,28.77182549613564,0.06883246527777778,1.0,7123,5620,"(3819, 831, 4299, 1311)",,
14,ako5r_0030_0030_1532_5059.jpg,page0030,page0030,105,4.609157734963118,4.148997773562083,0.7414097307622078,0.6719273075083692,0.8269195359970539,4.546530723571777,0.824852005276165,38.04131853662145,0.059973958333333334,1.0,8364,5431,"(1532, 5059, 2012, 5539)",,
15,ako5r_0018_0018_1486_2779.jpg,page0018,page0018,2,6.132773043206202,4.1284542340858525,0.732046005070139,0.7060580714541761,0.7600201240986081,4.872999668121338,0.6785301779492817,33.408116287359945,0.049578993055555555,1.0,8369,5963,"(1486, 2779, 1966, 3259)",,
16,ako5r_0013_0013_0831_0351.jpg,page0013,page0013,32,5.292288983646856,4.124568737247553,0.7530240917093759,0.6301661695781849,0.9353885135135135,4.899640083312988,0.6819161847703031,25.23609946687073,0.04938368055555555,1.0,4694,2368,"(831, 351, 1311, 831)",,
17,ako5r_0008_0008_2206_1726.jpg,page0008,page0008,8,5.724889563441003,4.123213393565839,0.7286886598599934,0.6468042909943208,0.8343110829237356,5.073670387268066,0.7947134215041693,29.835016793960705,0.10256944444444445,1.0,11093,6307,"(2206, 1726, 2686, 2206)",,
18,ako5r_0038_0038_2714_2252.jpg,page0038,page0038,4,6.006898993731954,4.097087763161644,0.7450730785058575,0.6745362563237775,0.8320848938826467,4.977242469787598,0.5839635807373448,16.967227145838244,0.01642361111111111,1.0,2372,1602,"(2714, 2252, 3194, 2732)",,
19,ako5r_0013_0013_1292_1200.jpg,page0013,page0013,85,4.827287794292282,4.093585636789958,0.7420499888438722,0.6507997440818938,0.8630620587142326,4.730753421783447,0.7567415097293049,33.177761895232365,0.053424479166666664,1.0,7815,5382,"(1292, 1200, 1772, 1680)",,
20,ako5r_0027_0027_2400_4256.jpg,page0027,page0027,10,5.6979429613541415,4.085960727293678,0.7254463638768982,0.7042418169672678,0.7479674796747967,5.19522762298584,0.803853735379042,26.429169691084446,0.09598090277777778,1.0,5988,3567,"(2400, 4256, 2880, 4736)",,
