scale,sample,roundtrip_ssim,roundtrip_bsds_f1,gt_bsds_f1,gt_bsds_precision,gt_bsds_recall,ink_ratio
0.50,lineart_003_018,0.4199,0.0959,0.1007,0.0635,0.2437,3.839
0.75,lineart_003_018,0.4079,0.0923,0.0837,0.0535,0.1919,3.585
1.00,lineart_003_018,0.4279,0.0959,0.0827,0.0536,0.1814,3.385
1.25,lineart_003_018,0.4779,0.0889,0.0662,0.046,0.118,2.564
1.50,lineart_003_018,0.4923,0.0931,0.0685,0.0484,0.1172,2.424
1.75,lineart_003_018,0.5335,0.0931,0.0661,0.0466,0.114,2.449
2.00,lineart_003_018,0.5778,0.0922,0.0679,0.0486,0.1127,2.319
0.50,lineart_008_023,0.2941,0.0863,0.1687,0.1005,0.5258,5.233
0.75,lineart_008_023,0.277,0.0804,0.1677,0.1008,0.4999,4.96
1.00,lineart_008_023,0.2366,0.0796,0.1658,0.0984,0.5269,5.357
1.25,lineart_008_023,0.2352,0.0796,0.1688,0.1007,0.5229,5.195
1.50,lineart_008_023,0.2599,0.0687,0.1405,0.083,0.4583,5.524
1.75,lineart_008_023,0.2898,0.0694,0.1567,0.0921,0.5235,5.681
2.00,lineart_008_023,0.334,0.0714,0.1342,0.0806,0.402,4.99
0.50,lineart_008_014,0.1485,0.1185,0.2017,0.1172,0.7228,6.166
0.75,lineart_008_014,0.1352,0.1076,0.1957,0.1133,0.7174,6.331
1.00,lineart_008_014,0.1219,0.1147,0.1901,0.1099,0.7039,6.405
1.25,lineart_008_014,0.1569,0.1343,0.2034,0.1188,0.7043,5.927
1.50,lineart_008_014,0.2576,0.19,0.2048,0.1214,0.6544,5.391
1.75,lineart_008_014,0.3172,0.2014,0.2084,0.1291,0.5408,4.19
2.00,lineart_008_014,0.3415,0.1994,0.2175,0.1324,0.6085,4.596
0.50,lineart_001_012,0.3549,0.1151,0.1063,0.0666,0.2641,3.966
0.75,lineart_001_012,0.2937,0.1034,0.0976,0.0608,0.248,4.082
1.00,lineart_001_012,0.2852,0.1064,0.1115,0.0695,0.2808,4.039
1.25,lineart_001_012,0.3009,0.1074,0.1123,0.0702,0.2812,4.006
1.50,lineart_001_012,0.3498,0.1056,0.1203,0.0768,0.2775,3.611
1.75,lineart_001_012,0.3953,0.1006,0.1323,0.0856,0.2912,3.402
2.00,lineart_001_012,0.5134,0.0855,0.1339,0.0957,0.2225,2.324
0.50,lineart_001_014,0.1683,0.1761,0.0987,0.0526,0.8085,15.381
0.75,lineart_001_014,0.1724,0.169,0.0958,0.051,0.7973,15.644
1.00,lineart_001_014,0.177,0.1761,0.0955,0.0509,0.7811,15.353
1.25,lineart_001_014,0.209,0.1501,0.0835,0.0451,0.5565,12.329
1.50,lineart_001_014,0.2506,0.1469,0.0909,0.0501,0.4871,9.714
1.75,lineart_001_014,0.2822,0.1506,0.0954,0.053,0.4759,8.976
2.00,lineart_001_014,0.3298,0.1624,0.0938,0.052,0.4786,9.201
