model,cs,gt_bsds_f1,precision,recall,orientation_entropy,line_width_p50,ink_ratio,components_per_1k_ink_px
GT(reference),,,,,0.7117,3.7189,0.0353,21.0131
anime_trained,1.0,0.1476,0.0874,0.507,0.7553,4.6992,0.4495,13.3
anime_trained,2.0,0.2113,0.1907,0.2639,0.7608,5.5137,0.1247,24.2821
anime_trained,2.5,0.2106,0.1913,0.2496,0.766,4.7497,0.0911,38.359
anime_trained,3.0,0.2092,0.1966,0.2434,0.7673,4.3172,0.0795,43.1
anime_trained,3.5,0.216,0.2047,0.2476,0.765,3.5532,0.0702,55.7439
coarse_trained,1.0,0.1538,0.0954,0.4578,0.7391,9.3477,0.4578,11.4947
coarse_trained,2.0,0.1845,0.1432,0.3113,0.7857,35.8209,0.5782,12.8996
coarse_trained,2.5,0.1932,0.158,0.3058,0.7938,23.2064,0.5168,32.0715
coarse_trained,3.0,0.2001,0.1725,0.2823,0.7868,25.3552,0.5062,40.5831
coarse_trained,3.5,0.2101,0.2008,0.2323,0.7781,40.9216,0.549,49.8496
manga_consistency_trained,1.0,0.1411,0.0858,0.4306,0.7758,3.9352,0.2992,13.3901
manga_consistency_trained,2.0,0.2166,0.1709,0.3156,0.7982,4.3172,0.1258,22.2656
manga_consistency_trained,2.5,0.2336,0.1822,0.3422,0.7952,3.5532,0.1056,33.355
manga_consistency_trained,3.0,0.2274,0.18,0.3165,0.7862,3.3369,0.0891,47.058
manga_consistency_trained,3.5,0.2337,0.1932,0.299,0.7744,3.3369,0.0772,57.0757
manga_epoch2_trained,1.0,0.1297,0.0789,0.3875,0.7756,6.0614,0.4058,10.096
manga_epoch2_trained,2.0,0.196,0.1358,0.3574,0.7839,5.2469,0.2049,18.5664
manga_epoch2_trained,2.5,0.2029,0.143,0.3599,0.7895,4.6992,0.1741,24.6258
manga_epoch2_trained,3.0,0.2103,0.1534,0.351,0.7828,4.8649,0.1769,30.3348
manga_epoch2_trained,3.5,0.2146,0.159,0.3606,0.7806,5.2469,0.1878,32.4133
manga_nomangaword_trained,1.0,0.1417,0.0839,0.4707,0.786,3.9857,0.3334,15.2307
manga_nomangaword_trained,2.0,0.2233,0.1689,0.3487,0.7939,4.3172,0.1446,21.7115
manga_nomangaword_trained,2.5,0.2263,0.174,0.3525,0.7992,4.1009,0.1309,30.2781
manga_nomangaword_trained,3.0,0.223,0.1715,0.3472,0.7996,3.7694,0.121,38.4508
manga_nomangaword_trained,3.5,0.2224,0.1706,0.3417,0.797,3.7694,0.1146,48.9364
manga_rank32_trained,1.0,0.1411,0.0816,0.6039,0.7697,3.3369,0.3906,23.021
manga_rank32_trained,2.0,0.1352,0.0796,0.4999,0.7687,3.2217,0.1911,40.4488
manga_rank32_trained,2.5,0.1269,0.0722,0.5498,0.7902,2.8397,0.1773,62.0096
manga_rank32_trained,3.0,0.1248,0.0706,0.5837,0.7897,2.2414,0.1816,82.1823
manga_rank32_trained,3.5,0.1232,0.0717,0.5536,0.7876,2.0757,0.1941,92.6385
manga_trained,1.0,0.1293,0.0773,0.4249,0.7728,3.7694,0.3041,16.3739
manga_trained,2.0,0.213,0.1624,0.3273,0.7888,4.3677,0.1447,19.1314
manga_trained,2.5,0.2137,0.1668,0.3213,0.7947,4.1009,0.1307,28.078
manga_trained,3.0,0.2195,0.1711,0.3267,0.7961,3.9352,0.1191,37.1503
manga_trained,3.5,0.2145,0.1699,0.3068,0.793,4.1009,0.1105,44.3193
manga_unetlora_trained,1.0,0.1203,0.0739,0.3333,0.7411,5.2974,0.3776,13.3553
manga_unetlora_trained,2.0,0.1479,0.0982,0.3576,0.7961,4.5334,0.331,14.6836
manga_unetlora_trained,2.5,0.1446,0.0931,0.4185,0.8038,4.3172,0.2749,19.0914
manga_unetlora_trained,3.0,0.1376,0.0812,0.5034,0.812,4.1009,0.3288,23.7208
manga_unetlora_trained,3.5,0.1361,0.0785,0.5484,0.8165,4.1514,0.3842,24.6034
sd15_lineart_trained,1.0,0.1558,0.0952,0.4733,0.7399,23.8132,0.4173,11.9632
sd15_lineart_trained,2.0,0.1844,0.1419,0.3096,0.7934,3.2217,0.1808,41.6462
sd15_lineart_trained,2.5,0.1899,0.1567,0.2709,0.798,3.7694,0.1173,40.7957
sd15_lineart_trained,3.0,0.2001,0.1694,0.2635,0.7993,4.3172,0.1049,40.6565
sd15_lineart_trained,3.5,0.2099,0.1773,0.2741,0.8016,4.3172,0.0982,41.6895
sdxl_manga_trained,1.0,0.1226,0.0978,0.2009,0.6982,11.4235,0.3841,3.8807
sdxl_manga_trained,2.0,0.1522,0.1394,0.2023,0.7692,6.0109,0.1347,10.3272
sdxl_manga_trained,2.5,0.1484,0.1293,0.2161,0.7887,5.5783,0.1311,14.141
sdxl_manga_trained,3.0,0.139,0.1188,0.2072,0.7973,5.6289,0.1428,16.2312
sdxl_manga_trained,3.5,0.127,0.0981,0.2188,0.7995,9.2326,0.2735,13.8463
sdxl_trained,1.0,0.0945,0.0929,0.1284,0.6366,20.6421,0.2491,4.2956
sdxl_trained,2.0,0.0581,0.096,0.0465,0.4475,5.5137,0.047,4.4268
sdxl_trained,2.5,0.0607,0.1315,0.0482,0.6246,7.9714,0.0573,6.3087
sdxl_trained,3.0,0.0611,0.1187,0.048,0.7628,9.4489,0.0611,12.6785
sdxl_trained,3.5,0.0646,0.1205,0.0502,0.779,10.0612,0.0612,10.5744
