label,orientation_entropy,line_width_p50,ink_ratio,components_per_1k_ink_px,gt_bsds_f1,precision,recall
GT(reference),0.7117,3.7189,0.0353,21.0131,nan,nan,nan
cs5.0,0.7853,3.9352,0.0634,82.0551,0.2165,0.2004,0.268
cs4.0,0.7752,3.1712,0.0693,70.4207,0.2266,0.1916,0.2824
cs3.5,0.7744,3.3369,0.0772,57.0757,0.2337,0.1932,0.299
cs3.0,0.7862,3.3369,0.0891,47.058,0.2274,0.18,0.3165
cs2.5_cfg5.0,0.7923,4.4829,0.1019,34.6189,0.2343,0.1971,0.2971
cs2.5,0.7952,3.5532,0.1056,33.355,0.2336,0.1822,0.3422
cs2.0_cfg7.5,0.7925,4.7497,0.1181,23.8234,0.2211,0.1872,0.274
cs2.0_cfg5.0,0.7954,4.5334,0.1185,24.1572,0.2195,0.1826,0.2869
cs2.0,0.7982,4.3172,0.1258,22.2656,0.2166,0.1709,0.3156
cs2.0_neg_combined,0.7885,3.7694,0.1395,31.4618,0.1724,0.1139,0.3887
cs1.5,0.7779,4.202,0.1465,13.5837,0.212,0.1669,0.3146
cfg10.0,0.7653,6.3423,0.1603,10.8829,0.1932,0.1646,0.2388
cs1.2,0.7747,4.6992,0.1619,12.4692,0.1926,0.1485,0.2879
cfg7.5,0.7744,6.0109,0.167,11.1371,0.1978,0.1633,0.2539
cfg5.0,0.7658,5.4126,0.1748,10.9798,0.1871,0.1464,0.2667
style_coloringbook,0.7794,5.0812,0.1775,10.7362,0.1885,0.1502,0.2704
style_technicalpen,0.7934,4.3172,0.189,14.8164,0.1999,0.1435,0.3498
baseline,0.7758,3.9352,0.2992,13.3901,0.1411,0.0858,0.4306
neg_combined,0.7747,4.6992,0.3545,14.6379,0.1303,0.0775,0.4192
neg_screentone,0.762,7.1709,0.3619,12.3848,0.1357,0.0844,0.3642
style_flat2d,0.7573,6.5586,0.3635,9.6319,0.1459,0.0968,0.3381
cfg1.5,0.8019,3.7189,0.3729,19.7875,0.1423,0.082,0.5829
cs0.8,0.7814,3.7694,0.3759,14.0811,0.1466,0.0854,0.5519
neg_hatching,0.7837,14.8475,0.4027,11.1002,0.1427,0.0886,0.3995
neg_shading,0.7926,4.7497,0.4037,15.4932,0.15,0.0884,0.5128
