rank,name,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,edge_f1,chamfer,match_score,decision,notes
1,kuripm_0023_l0960_4800_r1104_4952.jpg,0023,page0023.clip,960,4800,1104,4952,144,152,0.012877604166666667,0.9559773622811557,1.866121530532837,4.745206962638398,,
2,kuripm_0020_l0000_1920_r0080_1984.jpg,0020,page0020.clip,0,1920,80,1984,80,64,0.015125868055555556,0.8532148094395815,3.8350354433059692,3.777342691641022,,
3,kuripm_0023_l0960_5760_r1104_5888.jpg,0023,page0023.clip,960,5760,1104,5888,144,128,0.03202690972222222,0.7697653379382958,4.23940122127533,3.331056727787982,,
4,kuripm_0023_l2880_5760_r2968_5856.jpg,0023,page0023.clip,2880,5760,2968,5856,88,96,0.017938368055555556,0.7625196372391785,5.237275719642639,3.285179806312646,,
5,kuripm_0032_l2880_0960_r2824_1064.jpg,0032,page0032.clip,2880,960,2824,1064,-56,104,0.01368923611111111,0.7710575215715273,5.650025248527527,3.1813805601418865,,
6,kuripm_0034_l2880_5760_r3008_5936.jpg,0034,page0034.clip,2880,5760,3008,5936,128,176,0.1082638888888889,0.7165597625676084,5.454812049865723,3.0858093826355804,,
7,kuripm_0032_l3840_1920_r3736_1984.jpg,0032,page0032.clip,3840,1920,3736,1984,-104,64,0.03533420138888889,0.7209593386421161,5.151689052581787,3.049759694492907,,
8,kuripm_0009_l3840_1920_r3872_1976.jpg,0009,page0009.clip,3840,1920,3872,1976,32,56,0.01765625,0.693706895481757,4.080249667167664,3.048997461117533,,
9,kuripm_0005_l3840_3840_r3888_4016.jpg,0005,page0005.clip,3840,3840,3888,4016,48,176,0.04966145833333333,0.6743433315977836,5.157957077026367,2.9724244364878425,,
10,kuripm_0033_l0960_5760_r1136_5888.jpg,0033,page0033.clip,960,5760,1136,5888,176,128,0.045108506944444446,0.6882899846782996,5.258618235588074,2.9440859745728174,,
11,kuripm_0016_l0000_4800_r0000_4936.jpg,0016,page0016.clip,0,4800,0,4936,0,136,0.016032986111111112,0.7840724096328415,6.19274365901947,2.9328418385196717,,
12,kuripm_0005_l1920_5760_r2024_5872.jpg,0005,page0005.clip,1920,5760,2024,5872,104,112,0.017786458333333335,0.6732241310883773,4.89836061000824,2.9021558756018306,,
13,kuripm_0034_l3840_5760_r3944_5928.jpg,0034,page0034.clip,3840,5760,3944,5928,104,168,0.029900173611111112,0.7120187180228906,5.571549892425537,2.893128473440404,,
14,kuripm_0002_l1920_3840_r1864_3720.jpg,0002,page0002.clip,1920,3840,1864,3720,-56,-120,0.08286024305555556,0.6846923000730709,5.795140981674194,2.8884584771694977,,
15,kuripm_0034_l1920_5760_r2080_5920.jpg,0034,page0034.clip,1920,5760,2080,5920,160,160,0.03195746527777778,0.6583642290274472,4.921173572540283,2.883016867363566,,
16,kuripm_0033_l1920_4800_r2064_4960.jpg,0033,page0033.clip,1920,4800,2064,4960,144,160,0.02684027777777778,0.6575029337271622,5.229126930236816,2.872331054913778,,
17,kuripm_0001_l1920_2880_r1960_2856.jpg,0001,page0001.clip,1920,2880,1960,2856,40,-24,0.029557291666666666,0.6905976251727083,5.928099870681763,2.8601646331303394,,
18,kuripm_0037_l0000_3840_r0152_4000.jpg,0037,page0037.clip,0,3840,152,4000,152,160,0.022152777777777778,0.7156402609788219,6.157286167144775,2.8301022563929528,,
19,kuripm_0032_l3840_5760_r3768_5632.jpg,0032,page0032.clip,3840,5760,3768,5632,-72,-128,0.026762152777777777,0.6384904054384304,4.999983310699463,2.818945293636017,,
20,kuripm_0032_l0960_1920_r1000_1984.jpg,0032,page0032.clip,960,1920,1000,1984,40,64,0.023307291666666667,0.7128717887458368,5.878861904144287,2.815193698063082,,
21,kuripm_0032_l1920_2880_r1920_2896.jpg,0032,page0032.clip,1920,2880,1920,2896,0,16,0.03201822916666667,0.6966202451144665,6.41298508644104,2.7932512195716095,,
22,kuripm_0032_l3840_2880_r3752_2904.jpg,0032,page0032.clip,3840,2880,3752,2904,-88,24,0.025151909722222223,0.6792198703551108,5.447834014892578,2.786379583630224,,
23,kuripm_0033_l1920_5760_r2080_5880.jpg,0033,page0033.clip,1920,5760,2080,5880,160,120,0.017122395833333335,0.6655206408338974,5.822407484054565,2.781543478404759,,
24,kuripm_0011_l0960_4800_r1104_4968.jpg,0011,page0011.clip,960,4800,1104,4968,144,168,0.05552951388888889,0.6630237634593694,5.236788630485535,2.676612599735525,,
25,kuripm_0009_l0960_4800_r0944_4872.jpg,0009,page0009.clip,960,4800,944,4872,-16,72,0.02326388888888889,0.6940719359721803,6.566643714904785,2.6674355738891937,,
26,kuripm_0020_l0960_0960_r1008_0832.jpg,0020,page0020.clip,960,960,1008,832,48,-128,0.01720920138888889,0.6785596811089841,6.829700231552124,2.5223380657542394,,
27,kuripm_0032_l1920_0960_r1912_1048.jpg,0032,page0032.clip,1920,960,1912,1048,-8,88,0.022352430555555556,0.6454009742023631,6.58018946647644,2.4195602946489863,,
28,kuripm_0040_l0960_3840_r0880_4016.jpg,0040,page0040.clip,960,3840,880,4016,-80,176,0.047838541666666665,0.6593087686980676,6.277177095413208,2.41299788891187,,
29,kuripm_0011_l0960_2880_r1120_3056.jpg,0011,page0011.clip,960,2880,1120,3056,160,176,0.03009548611111111,0.6033058706528783,5.191782474517822,2.4106136676830956,,
30,kuripm_0005_l1920_3840_r2040_4016.jpg,0005,page0005.clip,1920,3840,2040,4016,120,176,0.05459201388888889,0.6165120527706612,6.66834568977356,2.3503632225513154,,
31,kuripm_0032_l2880_5760_r2848_5648.jpg,0032,page0032.clip,2880,5760,2848,5648,-32,-112,0.059756944444444446,0.6045502476255431,6.7592453956604,2.287326742028512,,
32,kuripm_0040_l1920_5760_r1816_5928.jpg,0040,page0040.clip,1920,5760,1816,5928,-104,168,0.061549479166666664,0.6041655679450595,6.968719720840454,2.273770603325872,,
33,kuripm_0025_l3840_0960_r3752_0960.jpg,0025,page0025.clip,3840,960,3752,960,-88,0,0.014309895833333334,0.6148679944418712,5.083560466766357,2.2460698541036934,,
34,kuripm_0033_l2880_4800_r2992_4960.jpg,0033,page0033.clip,2880,4800,2992,4960,112,160,0.037269965277777775,0.6374382548309842,7.674251556396484,2.207166271293458,,
35,kuripm_0009_l2880_3840_r2864_3816.jpg,0009,page0009.clip,2880,3840,2864,3816,-16,-24,0.06578993055555556,0.6216114687952818,6.7440584897994995,2.1946435324621927,,
36,kuripm_0032_l1920_3840_r1920_3808.jpg,0032,page0032.clip,1920,3840,1920,3808,0,-32,0.018936631944444445,0.6209489514933276,7.867963075637817,2.1542939918301327,,
37,kuripm_0029_l0000_0960_r0128_1032.jpg,0029,page0029.clip,0,960,128,1032,128,72,0.05283854166666667,0.6242119075995446,7.258152484893799,2.1473308525685626,,
38,kuripm_0005_l2880_3840_r2952_4016.jpg,0005,page0005.clip,2880,3840,2952,4016,72,176,0.03529079861111111,0.6457699964583824,8.038004398345947,2.10623400618716,,
39,kuripm_0032_l2880_4800_r2832_4720.jpg,0032,page0032.clip,2880,4800,2832,4720,-48,-80,0.04384548611111111,0.5961982093555414,7.627718210220337,2.1038880180771273,,
40,kuripm_0040_l0960_5760_r0872_5928.jpg,0040,page0040.clip,960,5760,872,5928,-88,168,0.09519965277777778,0.5985122547261648,7.5638697147369385,2.095047811661707,,
41,kuripm_0005_l3840_4800_r3880_4952.jpg,0005,page0005.clip,3840,4800,3880,4952,40,152,0.04044704861111111,0.572935564240074,6.965412139892578,2.0941755707635137,,
42,kuripm_0023_l1920_3840_r2032_4016.jpg,0023,page0023.clip,1920,3840,2032,4016,112,176,0.06713107638888889,0.5773617762298651,6.963852643966675,2.0854545446125665,,
43,kuripm_0015_l0000_3840_r0144_3984.jpg,0015,page0015.clip,0,3840,144,3984,144,144,0.05743923611111111,0.5914147959539405,7.087426066398621,2.083868727233862,,
44,kuripm_0025_l1920_4800_r1928_4696.jpg,0025,page0025.clip,1920,4800,1928,4696,8,-104,0.03204427083333333,0.6017296373379917,7.676359415054321,2.0784502008633585,,
45,kuripm_0040_l1920_0000_r1856_0168.jpg,0040,page0040.clip,1920,0,1856,168,-64,168,0.02506076388888889,0.6556518118195304,7.819433212280273,2.0482104199665256,,
46,kuripm_0011_l2880_2880_r2992_3056.jpg,0011,page0011.clip,2880,2880,2992,3056,112,176,0.030299479166666667,0.5620123191649714,6.776889324188232,2.0306871230022647,,
47,kuripm_0005_l0960_4800_r1112_4928.jpg,0005,page0005.clip,960,4800,1112,4928,152,128,0.027821180555555554,0.5983522142121525,7.290812373161316,1.9757592664442176,,
48,kuripm_0032_l1920_5760_r1904_5632.jpg,0032,page0032.clip,1920,5760,1904,5632,-16,-128,0.015625,0.5957724773699117,7.6013405323028564,1.9737949472464478,,
49,kuripm_0001_l0960_1920_r1000_1792.jpg,0001,page0001.clip,960,1920,1000,1792,40,-128,0.019639756944444444,0.6332555875093407,7.877686500549316,1.9641887368032611,,
50,kuripm_0032_l3840_0960_r3744_1048.jpg,0032,page0032.clip,3840,960,3744,1048,-96,88,0.019600694444444445,0.6200139931931417,8.514189004898071,1.9637161097630964,,
51,kuripm_0032_l0960_4800_r1008_4712.jpg,0032,page0032.clip,960,4800,1008,4712,48,-88,0.016197916666666666,0.6050975870368973,8.685949087142944,1.9286363781599063,,
52,kuripm_0029_l3840_3840_r3888_3912.jpg,0029,page0029.clip,3840,3840,3888,3912,48,72,0.04467881944444444,0.6430595966477022,8.301207304000854,1.9270074695843267,,
53,kuripm_0040_l1920_1920_r1848_2080.jpg,0040,page0040.clip,1920,1920,1848,2080,-72,160,0.023363715277777777,0.6321095910973652,8.873335361480713,1.9244180121053736,,
54,kuripm_0011_l0960_3840_r1112_4016.jpg,0011,page0011.clip,960,3840,1112,4016,152,176,0.09578993055555556,0.5724779370754509,7.549066543579102,1.9156770874768856,,
55,kuripm_0028_l1920_5760_r2088_5928.jpg,0028,page0028.clip,1920,5760,2088,5928,168,168,0.10118489583333333,0.5789314685608608,8.087630987167358,1.8701030173314654,,
56,kuripm_0020_l2880_5760_r2936_5704.jpg,0020,page0020.clip,2880,5760,2936,5704,56,-56,0.06261284722222223,0.5738591418877423,7.684910774230957,1.8608283220754502,,
57,kuripm_0008_l1920_1920_r1864_1784.jpg,0008,page0008.clip,1920,1920,1864,1784,-56,-136,0.03825520833333333,0.5692932582639322,7.739953994750977,1.8383687702424036,,
58,kuripm_0023_l0000_4800_r0160_4944.jpg,0023,page0023.clip,0,4800,160,4944,160,144,0.012717013888888889,0.6279955312774307,8.313316822052002,1.8246408653963662,,
59,kuripm_0032_l4481_2880_r4369_2896.jpg,0032,page0032.clip,4481,2880,4369,2896,-112,16,0.018993055555555555,0.5926983315418478,8.270021438598633,1.819136023803732,,
60,kuripm_0005_l3840_1920_r3872_2024.jpg,0005,page0005.clip,3840,1920,3872,2024,32,104,0.017821180555555555,0.6544108748483154,9.187570095062256,1.79406965952288,,
61,kuripm_0009_l3840_3840_r3888_3760.jpg,0009,page0009.clip,3840,3840,3888,3760,48,-80,0.017682291666666666,0.598702710531031,8.178546667098999,1.7940493533718431,,
62,kuripm_0032_l1920_1920_r1920_1976.jpg,0032,page0032.clip,1920,1920,1920,1976,0,56,0.03404079861111111,0.58493679067874,8.012789011001587,1.7919911989638393,,
63,kuripm_0009_l0960_2880_r0960_2896.jpg,0009,page0009.clip,960,2880,960,2896,0,16,0.059453125,0.6010361908866768,8.75833511352539,1.761937000846106,,
64,kuripm_0031_l1920_4800_r2056_4952.jpg,0031,page0031.clip,1920,4800,2056,4952,136,152,0.025607638888888888,0.640410635115807,8.854411363601685,1.7550546669049365,,
65,kuripm_0032_l1920_4800_r1920_4712.jpg,0032,page0032.clip,1920,4800,1920,4712,0,-88,0.0439453125,0.5554247215562502,8.326514959335327,1.748886019433956,,
66,kuripm_0025_l0000_3840_r0016_3760.jpg,0025,page0025.clip,0,3840,16,3760,16,-80,0.010399305555555556,0.5680545658149242,7.788431644439697,1.7487232896822902,,
