rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
1,0023,page0023.clip,960,4800,1104,4952,144,152,0.012877604166666667,1023,1532,11.03352610685356,0.9559773622811557,1.866121530532837,0.42318057167398365,4.745206962638398
2,0020,page0020.clip,0,1920,80,1984,80,64,0.015125868055555556,815,1172,14.24657108570549,0.8532148094395815,3.8350354433059692,0.3478446663803858,3.777342691641022
3,0023,page0023.clip,960,5760,1104,5888,144,128,0.03202690972222222,1147,3149,12.210170658707188,0.7697653379382958,4.23940122127533,0.4126378529394615,3.331056727787982
4,0023,page0023.clip,2880,5760,2968,5856,88,96,0.017938368055555556,1256,2503,12.041560528935996,0.7625196372391785,5.237275719642639,0.650045955056601,3.285179806312646
5,0032,page0032.clip,2880,960,2824,1064,-56,104,0.01368923611111111,2271,3319,18.231494658950712,0.7710575215715273,5.650025248527527,0.570122502487195,3.1813805601418865
6,0034,page0034.clip,2880,5760,3008,5936,128,176,0.1082638888888889,6745,7573,25.685907036771145,0.7165597625676084,5.454812049865723,0.7424662247133532,3.0858093826355804
7,0032,page0032.clip,3840,1920,3736,1984,-104,64,0.03533420138888889,1908,3823,23.68343974155017,0.7209593386421161,5.151689052581787,0.5941260147483545,3.049759694492907
8,0009,page0009.clip,3840,1920,3872,1976,32,56,0.01765625,1765,4728,21.848332055947573,0.693706895481757,4.080249667167664,0.49564114642785073,3.048997461117533
9,0005,page0005.clip,3840,3840,3888,4016,48,176,0.04966145833333333,5102,6258,31.08555619003703,0.6743433315977836,5.157957077026367,0.790373992380248,2.9724244364878425
10,0033,page0033.clip,960,5760,1136,5888,176,128,0.045108506944444446,3884,6172,24.637271863000926,0.6882899846782996,5.258618235588074,0.6929496228736672,2.9440859745728174
11,0016,page0016.clip,0,4800,0,4936,0,136,0.016032986111111112,961,2167,17.070649981161264,0.7840724096328415,6.19274365901947,0.313785652699198,2.9328418385196717
12,0005,page0005.clip,1920,5760,2024,5872,104,112,0.017786458333333335,1300,3740,19.953355591065733,0.6732241310883773,4.89836061000824,0.6446341777019902,2.9021558756018306
13,0034,page0034.clip,3840,5760,3944,5928,104,168,0.029900173611111112,2463,3879,20.992438882473255,0.7120187180228906,5.571549892425537,0.5591810772638229,2.893128473440404
14,0002,page0002.clip,1920,3840,1864,3720,-56,-120,0.08286024305555556,9015,9589,43.930433015469156,0.6846923000730709,5.795140981674194,0.7800314664237272,2.8884584771694977
15,0034,page0034.clip,1920,5760,2080,5920,160,160,0.03195746527777778,2281,4980,23.78830132591993,0.6583642290274472,4.921173572540283,0.7192880459179827,2.883016867363566
16,0033,page0033.clip,1920,4800,2064,4960,144,160,0.02684027777777778,2742,3961,23.428463208160938,0.6575029337271622,5.229126930236816,0.7883022154066626,2.872331054913778
17,0001,page0001.clip,1920,2880,1960,2856,40,-24,0.029557291666666666,2984,4390,28.6740971163946,0.6905976251727083,5.928099870681763,0.740995601753939,2.8601646331303394
18,0037,page0037.clip,0,3840,152,4000,152,160,0.022152777777777778,2416,3718,28.8554604853273,0.7156402609788219,6.157286167144775,0.6041977311597474,2.8301022563929528
19,0032,page0032.clip,3840,5760,3768,5632,-72,-128,0.026762152777777777,2262,2739,14.599359772616403,0.6384904054384304,4.999983310699463,0.7831124107296968,2.818945293636017
20,0032,page0032.clip,960,1920,1000,1984,40,64,0.023307291666666667,1771,3106,14.584848441321988,0.7128717887458368,5.878861904144287,0.5332589189534443,2.815193698063082
21,0032,page0032.clip,1920,2880,1920,2896,0,16,0.03201822916666667,2531,3207,19.80038957527679,0.6966202451144665,6.41298508644104,0.7409337641093563,2.7932512195716095
22,0032,page0032.clip,3840,2880,3752,2904,-88,24,0.025151909722222223,3041,3895,17.29247379722547,0.6792198703551108,5.447834014892578,0.599808793541482,2.786379583630224
23,0033,page0033.clip,1920,5760,2080,5880,160,120,0.017122395833333335,1499,3036,18.975535748937226,0.6655206408338974,5.822407484054565,0.7730272138077315,2.781543478404759
24,0011,page0011.clip,960,4800,1104,4968,144,168,0.05552951388888889,2074,2569,11.910408509188056,0.6630237634593694,5.236788630485535,0.5110643856697303,2.676612599735525
25,0009,page0009.clip,960,4800,944,4872,-16,72,0.02326388888888889,1337,1940,18.91803145333211,0.6940719359721803,6.566643714904785,0.6380057962615616,2.6674355738891937
26,0020,page0020.clip,960,960,1008,832,48,-128,0.01720920138888889,1306,2696,23.32450532386065,0.6785596811089841,6.829700231552124,0.6193496331496796,2.5223380657542394
27,0032,page0032.clip,1920,960,1912,1048,-8,88,0.022352430555555556,1601,4808,22.684742077580943,0.6454009742023631,6.58018946647644,0.6357416461655736,2.4195602946489863
28,0040,page0040.clip,960,3840,880,4016,-80,176,0.047838541666666665,6136,7495,23.820463489181034,0.6593087686980676,6.277177095413208,0.464861830630217,2.41299788891187
29,0011,page0011.clip,960,2880,1120,3056,160,176,0.03009548611111111,1333,1822,12.967933706457892,0.6033058706528783,5.191782474517822,0.5405510116528355,2.4106136676830956
30,0005,page0005.clip,1920,3840,2040,4016,120,176,0.05459201388888889,4482,6083,25.695876794180716,0.6165120527706612,6.66834568977356,0.7518401208159012,2.3503632225513154
31,0032,page0032.clip,2880,5760,2848,5648,-32,-112,0.059756944444444446,5552,9625,33.07311357099511,0.6045502476255431,6.7592453956604,0.7705307287910962,2.287326742028512
32,0040,page0040.clip,1920,5760,1816,5928,-104,168,0.061549479166666664,3899,8731,27.089949247437694,0.6041655679450595,6.968719720840454,0.8083583847108323,2.273770603325872
33,0025,page0025.clip,3840,960,3752,960,-88,0,0.014309895833333334,960,1296,18.399270199732143,0.6148679944418712,5.083560466766357,0.23555246905951044,2.2460698541036934
34,0033,page0033.clip,2880,4800,2992,4960,112,160,0.037269965277777775,5733,9229,27.818376551808477,0.6374382548309842,7.674251556396484,0.6935316355222927,2.207166271293458
35,0009,page0009.clip,2880,3840,2864,3816,-16,-24,0.06578993055555556,1325,4714,29.471201570547148,0.6216114687952818,6.7440584897994995,0.5442473580571043,2.1946435324621927
36,0032,page0032.clip,1920,3840,1920,3808,0,-32,0.018936631944444445,1903,4535,22.694977665735912,0.6209489514933276,7.867963075637817,0.7789273118638226,2.1542939918301327
37,0029,page0029.clip,0,960,128,1032,128,72,0.05283854166666667,2362,2075,40.552474712490444,0.6242119075995446,7.258152484893799,0.5973772644369996,2.1473308525685626
38,0005,page0005.clip,2880,3840,2952,4016,72,176,0.03529079861111111,2890,3962,19.498836695148565,0.6457699964583824,8.038004398345947,0.6062311294555467,2.10623400618716
39,0032,page0032.clip,2880,4800,2832,4720,-48,-80,0.04384548611111111,4908,8783,28.02983988553796,0.5961982093555414,7.627718210220337,0.8105507666793604,2.1038880180771273
40,0040,page0040.clip,960,5760,872,5928,-88,168,0.09519965277777778,7625,9140,26.674818888582852,0.5985122547261648,7.5638697147369385,0.7690756012228381,2.095047811661707
41,0005,page0005.clip,3840,4800,3880,4952,40,152,0.04044704861111111,3597,5152,21.00471955274595,0.572935564240074,6.965412139892578,0.778225221927074,2.0941755707635137
