rank,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,line_edges,rough_edges,rough_std,edge_f1,chamfer,orientation_entropy,match_score
1,0020,page0020.clip,0,2160,80,2264,80,104,0.013875868055555556,714,733,11.256582144673658,0.9826872822299652,1.4426655173301697,0.3235227070402966,4.8837214733160295
2,0038,page0038.clip,4320,5040,4128,4856,-192,-184,0.015581597222222222,1622,1325,21.20022926926348,0.9097348844227016,2.7056596279144287,0.466681027930623,4.3808873188751205
3,0032,page0032.clip,1440,5760,1480,5648,40,-112,0.029344618055555556,1857,2701,13.429764509562629,0.8691585891444708,2.6436994075775146,0.6379298544528924,4.327396947769165
4,0005,page0005.clip,2880,4320,2952,4464,72,144,0.02038628472222222,1329,2018,11.817675508716809,0.8960982940009941,2.8926384449005127,0.5065304725961282,4.307188159101771
5,0037,page0037.clip,0,3600,96,3408,96,-192,0.01392361111111111,1937,2789,13.921912003471002,0.8908637626958923,2.3902088403701782,0.3749746016806913,4.2762567267499785
6,0008,page0008.clip,3600,0,3424,8,-176,8,0.027230902777777777,2257,2381,22.15261588188239,0.8516823835275041,2.8145252466201782,0.3505428313487868,3.975941133392514
7,0032,page0032.clip,2160,2880,2136,2912,-24,32,0.015551215277777778,1083,1232,11.460848416088496,0.821958502970261,3.4729251861572266,0.5876081638999496,3.8852940087398196
8,0005,page0005.clip,1440,4320,1576,4488,136,168,0.017621527777777778,970,1234,11.50803254876075,0.820780066769807,3.9074233770370483,0.5487219281001798,3.761393200921769
9,0032,page0032.clip,720,4320,784,4280,64,-40,0.015169270833333333,1020,1787,13.909522546769661,0.8042941062815032,2.975536823272705,0.3190582833601608,3.681609793441104
10,0032,page0032.clip,2880,2160,2832,2208,-48,48,0.024309895833333334,1936,3816,20.77203409175831,0.7999357580549515,4.4763312339782715,0.6218222754127404,3.601870363809296
11,0023,page0023.clip,720,5040,864,5176,144,136,0.023411458333333333,1601,2849,13.764924345955974,0.7939692255993829,4.149558186531067,0.524188598192184,3.559285369244448
12,0032,page0032.clip,2160,4320,2144,4264,-16,-56,0.05286458333333333,4176,7328,32.428281537290545,0.7433817830328331,4.252086758613586,0.7404046180893811,3.4588152579129527
13,0033,page0033.clip,720,5760,912,5880,192,120,0.057643229166666664,5648,8057,30.241009180387017,0.7566070532510392,4.362891674041748,0.6757965606772759,3.4510941799886665
14,0031,page0031.clip,3600,4320,3736,4504,136,184,0.03631076388888889,1757,2736,13.47009854869935,0.7857096261807848,4.09381902217865,0.37023457112070446,3.4059719833647573
15,0009,page0009.clip,4320,2880,4320,2920,0,40,0.011414930555555555,834,2036,12.507421323964198,0.7603925192479287,5.449425101280212,0.7253254436938534,3.2923379309386838
16,0023,page0023.clip,2880,5760,2968,5856,88,96,0.017938368055555556,1256,2503,12.041560528935996,0.7625196372391785,5.237275719642639,0.650045955056601,3.285179806312646
17,0032,page0032.clip,720,1440,760,1512,40,72,0.019908854166666667,2180,3080,23.545556911340277,0.7272204066110393,4.7588653564453125,0.7391761645867969,3.2756698934355715
18,0032,page0032.clip,2880,720,2824,824,-56,104,0.03577690972222222,4611,6174,23.10756887995187,0.7312062736731574,4.740870833396912,0.668799887850143,3.242897111966519
19,0032,page0032.clip,1440,1440,1448,1536,8,96,0.03687065972222222,3989,5800,26.836032715947507,0.7060021444457404,4.7316062450408936,0.7990215240323478,3.2229066924464016
20,0034,page0034.clip,720,5760,912,5928,192,168,0.034756944444444444,3321,4195,20.786483848789096,0.6937802023937479,4.648619174957275,0.7953881666329953,3.1754877102836807
21,0005,page0005.clip,2880,5040,2960,5184,80,144,0.014809027777777779,1525,1737,12.982092183972489,0.7148663958931419,4.90917706489563,0.6904189328604552,3.144831712774948
22,0032,page0032.clip,1440,2880,1440,2888,0,8,0.04724826388888889,2547,3643,26.817867759151763,0.7420977076603726,5.627755403518677,0.6547430734574884,3.1087319163641185
23,0034,page0034.clip,2880,5760,3008,5936,128,176,0.1082638888888889,6745,7573,25.685907036771145,0.7165597625676084,5.454812049865723,0.7424662247133532,3.0858093826355804
24,0033,page0033.clip,720,5040,912,5192,192,152,0.039947916666666666,3022,4342,20.488601257480635,0.6969379488599731,4.439835071563721,0.5833906350513463,3.063435238028198
25,0032,page0032.clip,2160,1440,2160,1544,0,104,0.019852430555555557,1094,2636,14.717887719982217,0.7355667021377277,4.644941449165344,0.3920512663216148,3.0624862339128613
26,0009,page0009.clip,1440,5760,1456,5832,16,72,0.011610243055555556,1002,2014,13.111036503459921,0.7605154913397301,6.019667148590088,0.566028025274243,3.051466447200027
27,0011,page0011.clip,720,3600,872,3776,152,176,0.03452256944444444,3200,4030,12.763732156374639,0.7122927204708487,4.857375621795654,0.5500941097510728,3.030063765795971
28,0011,page0011.clip,2160,2880,2288,3072,128,192,0.02198784722222222,1258,1643,14.450890103724356,0.7407894552090963,5.526735067367554,0.5245674916886267,3.0182542559228724
29,0034,page0034.clip,3600,5760,3728,5920,128,160,0.06833333333333333,5535,8339,28.623720556592435,0.7017065671485797,5.329957962036133,0.7012890217164924,3.003572460708866
