rank,name,page,source_page,line_x,line_y,rough_x,rough_y,dx,dy,line_ink,edge_f1,chamfer,match_score,decision,notes,vlm_same_region,vlm_usable,vlm_score,vlm_reason,vlm_decision
1,kuripm_0020_l0000_2160_r0080_2264.jpg,0020,page0020.clip,0,2160,80,2264,80,104,0.013875868055555556,0.9826872822299652,1.4426655173301697,4.8837214733160295,,,False,False,1.0,"Regions mismatched, no clear shared subject",reject
2,kuripm_0038_l4320_5040_r4128_4856.jpg,0038,page0038.clip,4320,5040,4128,4856,-192,-184,0.015581597222222222,0.9097348844227016,2.7056596279144287,4.3808873188751205,,,True,True,5.0,Rough and line align perfectly in shape and orientation.,accept
3,kuripm_0032_l1440_5760_r1480_5648.jpg,0032,page0032.clip,1440,5760,1480,5648,40,-112,0.029344618055555556,0.8691585891444708,2.6436994075775146,4.327396947769165,,,True,True,5.0,"Aligns precisely, matches local structure",accept
4,kuripm_0005_l2880_4320_r2952_4464.jpg,0005,page0005.clip,2880,4320,2952,4464,72,144,0.02038628472222222,0.8960982940009941,2.8926384449005127,4.307188159101771,,,True,True,5.0,Rough and line align perfectly in shape and orientation.,accept
5,kuripm_0037_l0000_3600_r0096_3408.jpg,0037,page0037.clip,0,3600,96,3408,96,-192,0.01392361111111111,0.8908637626958923,2.3902088403701782,4.2762567267499785,,,False,False,1.0,"Regions mismatched, not aligned",reject
6,kuripm_0008_l3600_0000_r3424_0008.jpg,0008,page0008.clip,3600,0,3424,8,-176,8,0.027230902777777777,0.8516823835275041,2.8145252466201782,3.975941133392514,,,False,False,0.0,Regions mismatched,reject
7,kuripm_0032_l2160_2880_r2136_2912.jpg,0032,page0032.clip,2160,2880,2136,2912,-24,32,0.015551215277777778,0.821958502970261,3.4729251861572266,3.8852940087398196,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
8,kuripm_0005_l1440_4320_r1576_4488.jpg,0005,page0005.clip,1440,4320,1576,4488,136,168,0.017621527777777778,0.820780066769807,3.9074233770370483,3.761393200921769,,,False,False,1.0,"Regions mismatched, not aligned",reject
9,kuripm_0032_l0720_4320_r0784_4280.jpg,0032,page0032.clip,720,4320,784,4280,64,-40,0.015169270833333333,0.8042941062815032,2.975536823272705,3.681609793441104,,,False,False,1.0,"Regions mismatched, no clear correspondence",reject
10,kuripm_0032_l2880_2160_r2832_2208.jpg,0032,page0032.clip,2880,2160,2832,2208,-48,48,0.024309895833333334,0.7999357580549515,4.4763312339782715,3.601870363809296,,,True,True,5.0,"Aligns precisely, matches local structure",accept
11,kuripm_0023_l0720_5040_r0864_5176.jpg,0023,page0023.clip,720,5040,864,5176,144,136,0.023411458333333333,0.7939692255993829,4.149558186531067,3.559285369244448,,,False,False,1.0,"Regions mismatched, no clear shared subject",reject
12,kuripm_0032_l2160_4320_r2144_4264.jpg,0032,page0032.clip,2160,4320,2144,4264,-16,-56,0.05286458333333333,0.7433817830328331,4.252086758613586,3.4588152579129527,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
13,kuripm_0033_l0720_5760_r0912_5880.jpg,0033,page0033.clip,720,5760,912,5880,192,120,0.057643229166666664,0.7566070532510392,4.362891674041748,3.4510941799886665,,,True,True,5.0,Rough and line match foot anatomy precisely.,accept
14,kuripm_0031_l3600_4320_r3736_4504.jpg,0031,page0031.clip,3600,4320,3736,4504,136,184,0.03631076388888889,0.7857096261807848,4.09381902217865,3.4059719833647573,,,True,True,5.0,Rough and line align perfectly in shape and orientation.,accept
15,kuripm_0009_l4320_2880_r4320_2920.jpg,0009,page0009.clip,4320,2880,4320,2920,0,40,0.011414930555555555,0.7603925192479287,5.449425101280212,3.2923379309386838,,,True,True,5.0,Rough and line align precisely in structure and orientation.,accept
16,kuripm_0023_l2880_5760_r2968_5856.jpg,0023,page0023.clip,2880,5760,2968,5856,88,96,0.017938368055555556,0.7625196372391785,5.237275719642639,3.285179806312646,,,True,True,5.0,Aligns precisely in form and orientation,accept
17,kuripm_0032_l0720_1440_r0760_1512.jpg,0032,page0032.clip,720,1440,760,1512,40,72,0.019908854166666667,0.7272204066110393,4.7588653564453125,3.2756698934355715,,,True,True,5.0,"Rough and line align precisely, overlay confirms matching contours.",accept
18,kuripm_0032_l2880_0720_r2824_0824.jpg,0032,page0032.clip,2880,720,2824,824,-56,104,0.03577690972222222,0.7312062736731574,4.740870833396912,3.242897111966519,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
19,kuripm_0032_l1440_1440_r1448_1536.jpg,0032,page0032.clip,1440,1440,1448,1536,8,96,0.03687065972222222,0.7060021444457404,4.7316062450408936,3.2229066924464016,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
20,kuripm_0034_l0720_5760_r0912_5928.jpg,0034,page0034.clip,720,5760,912,5928,192,168,0.034756944444444444,0.6937802023937479,4.648619174957275,3.1754877102836807,,,True,True,5.0,"Hand anatomy matches, no significant misalignment or rotation.",accept
21,kuripm_0005_l2880_5040_r2960_5184.jpg,0005,page0005.clip,2880,5040,2960,5184,80,144,0.014809027777777779,0.7148663958931419,4.90917706489563,3.144831712774948,,,True,True,5.0,Sketch and line match precisely in shape and orientation.,accept
22,kuripm_0032_l1440_2880_r1440_2888.jpg,0032,page0032.clip,1440,2880,1440,2888,0,8,0.04724826388888889,0.7420977076603726,5.627755403518677,3.1087319163641185,,,True,True,5.0,"Regions align precisely, no structural mismatch.",accept
23,kuripm_0034_l2880_5760_r3008_5936.jpg,0034,page0034.clip,2880,5760,3008,5936,128,176,0.1082638888888889,0.7165597625676084,5.454812049865723,3.0858093826355804,,,True,True,5.0,Rough and line align precisely in form and structure.,accept
24,kuripm_0033_l0720_5040_r0912_5192.jpg,0033,page0033.clip,720,5040,912,5192,192,152,0.039947916666666666,0.6969379488599731,4.439835071563721,3.063435238028198,,,True,True,5.0,"Rough and line align precisely, matching local anatomy and orientation.",accept
25,kuripm_0032_l2160_1440_r2160_1544.jpg,0032,page0032.clip,2160,1440,2160,1544,0,104,0.019852430555555557,0.7355667021377277,4.644941449165344,3.0624862339128613,,,False,False,1.0,"Regions mismatched, not aligned",reject
26,kuripm_0009_l1440_5760_r1456_5832.jpg,0009,page0009.clip,1440,5760,1456,5832,16,72,0.011610243055555556,0.7605154913397301,6.019667148590088,3.051466447200027,,,False,False,1.0,"Regions mismatched, not aligned",reject
27,kuripm_0011_l0720_3600_r0872_3776.jpg,0011,page0011.clip,720,3600,872,3776,152,176,0.03452256944444444,0.7122927204708487,4.857375621795654,3.030063765795971,,,True,True,5.0,"Aligns precisely, matches local structure",accept
