sample,model,ink_pixels,orientation_entropy,long_line_ratio,component_count,mean_component_len,median_component_len,long_component_ratio,components_per_1k_ink_px
lineart_004_002,GT,12645,0.8082454554514469,0.5381573744563068,269,22.219330855018587,6.0,0.8428977748034131,21.273230525899564
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep005,172,0.7944059603217558,0.0,40,4.3,1.0,0.6337209302325582,232.5581395348837
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep010,0,0.0,0.0,0,0.0,0.0,0.0,0.0
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep015,1,0.0,0.0,0,0.0,0.0,0.0,0.0
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep020,5838,0.7695187310312254,0.22439191503939707,172,4.3313953488372094,1.0,0.436241610738255,29.46214457005824
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep025,13676,0.8106820217573887,0.5644194208832992,231,5.787878787878788,1.0,0.5168287210172027,16.89090377303305
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep030,11204,0.8205135835925355,0.5718493395215994,127,8.992125984251969,1.0,0.6514886164623468,11.335237415208853
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep035,8592,0.8200362487875714,0.2582635009310987,140,7.985714285714286,1.0,0.7110912343470484,16.294227188081937
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep040,12058,0.8209511005192964,0.4190578868800796,145,13.351724137931035,2.0,0.7453512396694215,12.025211477857024
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep045,15396,0.8206506914189261,0.44940244219277736,196,11.229591836734693,3.0,0.6983189459336665,12.730579371265264
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep050,8986,0.8141944383483679,0.35967059870910306,149,12.093959731543624,4.0,0.6609322974472808,16.581348764745158
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep055,10987,0.8208937243960063,0.36051697460635296,200,10.035,3.0,0.5954160438465371,18.20333120961136
lineart_004_002,combined_koma_unet_skip0_finegrid_20260803_ep060,9706,0.8245462231609045,0.14413764681640223,145,13.03448275862069,7.0,0.6158730158730159,14.939212858025963
lineart_004_003,GT,16373,0.7673708203555819,0.6905270872778355,299,22.013377926421406,4.0,0.8416894560923731,18.261772430220482
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep005,455,0.0,0.0,49,3.857142857142857,2.0,0.1164021164021164,107.6923076923077
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep010,128,0.0,0.0,5,12.2,1.0,0.9180327868852459,39.0625
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep015,0,0.0,0.0,0,0.0,0.0,0.0,0.0
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep020,7134,0.7548349529635884,0.4883655733109055,149,4.89261744966443,1.0,0.47050754458161864,20.885898514157557
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep025,12984,0.7520877112609685,0.34873690696241527,199,5.316582914572864,1.0,0.4952741020793951,15.326555760936538
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep030,14652,0.7743105008462026,0.5285285285285285,195,7.62051282051282,2.0,0.6379542395693136,13.308763308763309
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep035,10641,0.7701639725515033,0.28380791279015133,189,8.243386243386244,2.0,0.5956354300385109,17.761488581900196
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep040,14128,0.7848125861556188,0.34803227633069084,220,9.590909090909092,2.0,0.6056872037914692,15.571913929784825
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep045,16152,0.7591371547700573,0.3032441802872709,220,12.768181818181818,5.0,0.6899252402990388,13.620604259534423
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep050,12361,0.7736505794816714,0.41396327157996926,203,11.48768472906404,4.0,0.6753859348198971,16.422619529164304
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep055,14235,0.7642482831575617,0.518510713031261,226,10.969026548672566,4.0,0.654699475594998,15.876361081840534
lineart_004_003,combined_koma_unet_skip0_finegrid_20260803_ep060,12613,0.7713425817463129,0.3976849282486324,202,12.821782178217822,4.0,0.6903474903474903,16.015222389598033
lineart_004_006,GT,12131,0.8123443941856915,0.5123237985326848,262,19.65648854961832,4.0,0.8209708737864078,21.597559970323964
lineart_004_006,combined_koma_unet_skip0_finegrid_20260803_ep005,352,0.0,0.0,47,5.468085106382978,2.0,0.4591439688715953,133.52272727272725
lineart_004_006,combined_koma_unet_skip0_finegrid_20260803_ep010,31,0.0,0.0,7,3.857142857142857,1.0,0.7407407407407407,225.80645161290323
lineart_004_006,combined_koma_unet_skip0_finegrid_20260803_ep015,53,0.0,0.0,9,5.0,2.0,0.5777777777777777,169.81132075471697
lineart_004_006,combined_koma_unet_skip0_finegrid_20260803_ep020,6269,0.7267046294534423,0.26112617642367203,173,4.676300578034682,1.0,0.5142150803461063,27.596107832190143
