pool,n_total,n_sampled,blank_tile_frac,ink_ratio,fill_ratio,line_width_p50,near_white_frac,midtone_frac,orientation_entropy,grid_ink_cv
trainlist:clippairskoma,6978,120,0.0,0.0397,0.0917,3.4087,0.9553,0.007,0.7005,1.8258
shared/train:ako5,5962,120,0.3333,0.092,0.2564,14.3323,0.8919,0.0251,0.4712,1.6616
shared/train:housei,5070,120,0.2667,0.0744,0.2879,12.0161,0.8937,0.0251,0.6639,3.1812
shared/train:kurip,2280,120,0.0,0.0596,0.2028,4.7922,0.9095,0.0478,0.6707,1.5976
shared/test:housei,1596,120,0.3833,0.061,0.2244,8.495,0.9058,0.0314,0.5516,2.6743
trainlist:ako5ver2koma,536,120,0.0,0.0359,0.1313,3.97,0.9372,0.0359,0.7066,1.9298
trainlist:fitnesskoma,455,120,0.0,0.0353,0.1619,4.2412,0.9415,0.0354,0.6799,2.0134
shared/train:ako5r,418,120,0.0,0.0615,0.2646,7.0766,0.9078,0.0427,0.7419,1.8691
shared/train:(other <20 tiles),204,120,0.0,0.0461,0.0609,2.5619,0.9227,0.0334,0.7242,1.47
trainlist:gakuenkoma,202,120,0.0,0.0403,0.1396,4.0815,0.9288,0.0407,0.6932,1.7957
shared/train:lineart,168,120,0.0,0.0475,0.0653,2.6165,0.9199,0.0346,0.7288,1.4566
trainlist:hamlabikoma,164,120,0.0,0.0421,0.1428,4.0274,0.9369,0.0313,0.7241,1.8337
trainlist:houseikoma,132,120,0.0,0.0283,0.1249,3.7907,0.9499,0.0287,0.7001,2.2023
shared/test:lineart,24,24,0.0,0.0434,0.0326,2.2313,0.9251,0.0344,0.6904,1.4594
