model,resolution,cs,gt_bsds_f1,precision,recall,orientation_entropy,line_width_p50,ink_ratio,components_per_1k_ink_px,bg_mode,near_white_frac,midtone_frac
GT(reference),,,,,,0.7117,3.7189,0.0353,21.0131,255.0,0.9478,0.018
anime_base,1024,0.5,0.1686,0.1015,0.7133,0.7007,2.0757,0.2285,19.281,209.6,0.1127,0.3076
anime_base,1024,1.0,0.2341,0.1575,0.5273,0.7966,1.91,0.0644,34.2167,201.2,0.0296,0.2918
anime_base,1024,2.0,0.2568,0.189,0.4796,0.7938,2.6234,0.0392,52.011,235.2,0.815,0.093
anime_base,1024,2.5,0.2582,0.192,0.4758,0.7943,3.056,0.0447,47.9364,243.0,0.7757,0.0959
anime_base,1024,3.0,0.2577,0.1903,0.4804,0.7994,3.0054,0.0548,35.1676,245.8,0.7424,0.1193
anime_base,1024,4.0,0.2494,0.1806,0.4767,0.8052,3.2217,0.0671,29.3613,249.2,0.7191,0.1471
anime_base,512,0.5,0.1567,0.0942,0.4995,0.6368,6.112,0.4108,6.55,198.4,0.25,0.245
anime_base,512,1.0,0.2263,0.1563,0.482,0.7896,1.91,0.0876,28.3266,163.8,0.031,0.8484
anime_base,512,2.0,0.2416,0.1738,0.448,0.7917,1.91,0.0412,33.2459,214.0,0.1181,0.0604
anime_base,768,0.5,0.1766,0.1118,0.6075,0.7152,1.91,0.1984,20.5453,210.4,0.1651,0.3483
anime_base,768,1.0,0.2231,0.1509,0.4928,0.7937,1.91,0.0551,31.1699,196.6,0.0222,0.5127
anime_base,768,2.0,0.247,0.1794,0.4657,0.7968,2.292,0.0527,43.6476,232.4,0.6245,0.116
anime_lora,1024,0.5,0.1217,0.0675,0.7163,0.6608,1.91,0.3093,26.7701,201.0,0.0826,0.4862
anime_lora,1024,1.0,0.1221,0.0784,0.3684,0.6891,1.91,0.109,40.0192,199.2,0.2064,0.3609
anime_lora,1024,2.0,0.0432,0.1552,0.0319,0.1613,0.5477,0.0006,4.1056,178.4,0.39,0.2242
anime_lora,1024,2.5,0.0133,0.061,0.0075,0.0,0.0,0.0,0.0,225.2,0.3752,0.3474
anime_lora,1024,3.0,0.0196,0.1627,0.0113,0.1575,1.91,0.0013,2.9046,225.0,0.3625,0.3504
anime_lora,1024,4.0,0.0527,0.1505,0.0342,0.1596,1.4774,0.0005,5.6926,255.0,0.3285,0.4633
anime_lora,512,0.5,0.1253,0.0826,0.3142,0.399,13.6789,0.54,2.0817,201.8,0.3958,0.1707
anime_lora,512,1.0,0.0945,0.0929,0.1284,0.6366,20.6421,0.2491,4.2956,209.4,0.1483,0.559
anime_lora,512,2.0,0.0581,0.096,0.0465,0.4475,5.5137,0.047,4.4268,228.4,0.3098,0.3758
anime_lora,768,0.5,0.1201,0.0968,0.3252,0.5942,2.6234,0.1949,12.1607,201.4,0.1304,0.4682
anime_lora,768,1.0,0.1148,0.0855,0.2704,0.6244,2.1909,0.1274,15.3206,201.4,0.2097,0.2443
anime_lora,768,2.0,0.0864,0.1085,0.0781,0.7714,5.5783,0.0551,31.3049,220.8,0.332,0.3912
anime_lora_nooffload,512,1.0,0.0945,0.0929,0.1284,0.6366,20.6421,0.2491,4.2956,209.4,0.1483,0.559
manga_base,1024,0.5,0.1541,0.0875,0.7554,0.5049,3.6037,0.2131,13.699,255.0,0.4938,0.1874
manga_base,1024,1.0,0.2121,0.1524,0.3732,0.3962,1.528,0.0345,71.7348,249.6,0.8782,0.0692
manga_base,1024,2.0,0.191,0.2083,0.2303,0.3079,0.764,0.0004,171.6216,254.0,0.9725,0.0081
manga_base,1024,2.5,0.1325,0.2433,0.1356,0.309,0.764,0.0001,199.4253,254.8,0.9835,0.0032
manga_base,1024,3.0,0.0866,0.1045,0.078,0.0,0.0,0.0,0.0,254.8,0.989,0.0024
manga_base,1024,4.0,0.0239,0.1215,0.0132,0.0,0.0,0.0,0.0,255.0,0.9981,0.0002
manga_base,512,0.5,0.1418,0.0863,0.4412,0.4167,6.4434,0.3694,3.2157,255.0,0.4534,0.1127
manga_base,512,1.0,0.1813,0.1186,0.4305,0.6628,3.6037,0.1082,28.7891,254.8,0.7648,0.1187
manga_base,512,2.0,0.1247,0.2112,0.1073,0.1373,0.382,0.0,72.7273,254.0,0.9877,0.0021
manga_base,768,0.5,0.1387,0.0832,0.4704,0.689,3.2217,0.1158,21.9257,245.0,0.6104,0.1615
manga_base,768,1.0,0.2031,0.2163,0.3062,0.62,1.91,0.0154,97.7847,253.8,0.9389,0.0361
manga_base,768,2.0,0.1171,0.2148,0.1151,0.0,0.0,0.0,0.0,254.4,0.9877,0.0018
manga_lora,1024,0.5,0.1343,0.0791,0.5017,0.5882,3.3874,0.372,12.6155,236.8,0.3214,0.182
manga_lora,1024,1.0,0.1751,0.125,0.3583,0.6823,2.9549,0.1273,14.223,199.6,0.1198,0.5391
manga_lora,1024,2.0,0.1949,0.1543,0.3085,0.7918,15.1283,0.2986,28.676,141.6,0.1384,0.7899
manga_lora,1024,2.5,0.1884,0.1406,0.319,0.8054,25.9255,0.357,40.7736,127.6,0.1753,0.7684
manga_lora,1024,3.0,0.1859,0.1321,0.3536,0.8078,25.167,0.396,32.5143,124.6,0.1759,0.7508
manga_lora,1024,4.0,0.1557,0.0999,0.4005,0.7939,17.5355,0.53,26.0723,118.0,0.171,0.7151
manga_lora,512,0.5,0.1173,0.0812,0.2483,0.4803,12.7352,0.5315,1.7997,204.0,0.4201,0.1221
manga_lora,512,1.0,0.1226,0.0978,0.2009,0.6982,11.4235,0.3841,3.8807,249.4,0.567,0.0892
manga_lora,512,2.0,0.1522,0.1394,0.2023,0.7692,6.0109,0.1347,10.3272,182.8,0.1761,0.2643
manga_lora,768,0.5,0.1086,0.0684,0.3118,0.7197,5.0306,0.3175,11.0737,221.6,0.2603,0.3808
manga_lora,768,1.0,0.1646,0.1273,0.2719,0.7573,5.2469,0.1961,8.4824,219.2,0.4657,0.2444
manga_lora,768,2.0,0.1809,0.1466,0.2698,0.7821,4.3172,0.0959,18.5271,149.2,0.2161,0.4666
manga_lora_nooffload,512,1.0,0.1226,0.0978,0.2009,0.6982,11.4235,0.3841,3.8807,249.4,0.567,0.0892
