tag,mean_orientation_entropy,delta_vs_baseline
text_focus,0.7958,+0.0098
cleavage,0.7953,+0.0093
head_out_of_frame,0.7952,+0.0091
cable,0.7950,+0.0089
letterboxed,0.7949,+0.0089
male_focus,0.7949,+0.0089
admiral_(kancolle),0.7946,+0.0085
shirt,0.7933,+0.0073
bow,0.7927,+0.0066
hat,0.7920,+0.0059
pokemon_(creature),0.7919,+0.0059
glasses,0.7919,+0.0059
yuri,0.7915,+0.0054
sweat,0.7912,+0.0051
collarbone,0.7906,+0.0046
nipples,0.7906,+0.0046
facial_hair,0.7898,+0.0038
bikini,0.7896,+0.0035
breasts,0.7895,+0.0035
chibi,0.7892,+0.0031
open_mouth,0.7884,+0.0024
smile,0.7884,+0.0024
comic,0.7884,+0.0023
large_breasts,0.7881,+0.0021
sweatdrop,0.7880,+0.0020
1boy,0.7877,+0.0016
signature,0.7872,+0.0011
short_hair,0.7866,+0.0006
swimsuit,0.7866,+0.0005
blush,0.7864,+0.0004
lineart,0.7863,+0.0003
hair_between_eyes,0.7859,-0.0001
weapon,0.7855,-0.0006
no_humans,0.7847,-0.0014
looking_at_viewer,0.7845,-0.0015
from_side,0.7838,-0.0022
fujiwara_no_mokou,0.7838,-0.0022
english_text,0.7837,-0.0024
silent_comic,0.7832,-0.0029
1girl,0.7831,-0.0029
upper_body,0.7829,-0.0032
:3,0.7821,-0.0040
nude,0.7813,-0.0048
monochrome,0.7810,-0.0050
white_background,0.7808,-0.0052
sketch,0.7797,-0.0064
sleeping,0.7795,-0.0065
closed_eyes,0.7787,-0.0074
|_|,0.7782,-0.0079
close-up,0.7779,-0.0081
musical_note,0.7772,-0.0088
simple_background,0.7757,-0.0104
2girls,0.7750,-0.0110
solo,0.7745,-0.0115
portrait,0.7745,-0.0116
greyscale,0.7744,-0.0117
closed_mouth,0.7738,-0.0122
silhouette,0.7717,-0.0144
bangs,0.7696,-0.0165
black_border,0.7637,-0.0224
multiple_girls,0.7634,-0.0226
long_hair,0.7628,-0.0232
blood,0.7570,-0.0291
